filepath,class_name,class_label,width,height,file_size_bytes,sha256_hash
../data/1 Very Mild/AD Very Mild 1303.jpg,1 Very Mild,0,256,256,20644,87b3d25bc70f98bd973e5823a89a5469155a849f9f3f64f5932ae0789ddeeb4a
../data/1 Very Mild/AD Very Mild 924.jpg,1 Very Mild,0,256,256,20039,a0158c8f4baad4816d7f548d14e8a782dc7f6034ab27ef8f3636ecbfb82f78dd
../data/1 Very Mild/AD Very Mild 1465.jpg,1 Very Mild,0,256,256,21475,2ba9861edfb9dffa5f345d4f80c28b6cf976655e4b06e0d0174d1ac867618f65
../data/1 Very Mild/AD Very Mild 1471.jpg,1 Very Mild,0,256,256,20982,105e6a59bb7bed47a37135e13b16ad867535ff13fddf9374527989b162d493c6
../data/1 Very Mild/AD Very Mild 2178.jpg,1 Very Mild,0,256,256,19611,1c91c2f7a857a8db343808e963c18c964fc2702569f4c9a3b93871c6dcea4888
../data/1 Very Mild/AD Very Mild 2.jpg,1 Very Mild,0,256,256,16412,39f93ec2c894b9e47ea6e3a872accc69e359dff4cfa39066a3720023cccb778f
../data/1 Very Mild/AD Very Mild 1317.jpg,1 Very Mild,0,256,256,21180,5e11968b592b5c8ccabef0bd285c32a5540b099444062e3d75c01f201f958972
../data/1 Very Mild/AD Very Mild 930.jpg,1 Very Mild,0,256,256,20606,5caad2d436dc82fbc4aa32f92799db2313ce670166984799d7ea165cda89a221
../data/1 Very Mild/AD Very Mild 918.jpg,1 Very Mild,0,256,256,20542,0911fcf6c7bcb5371e14a832eeafe5665b47a46c6fce0bdf97c470cb52fd3a34
../data/1 Very Mild/AD Very Mild 1459.jpg,1 Very Mild,0,256,256,21988,37d95c46f349eb78168d2749c17012e40530d572ad45b59843e3103f055966d2
../data/1 Very Mild/AD Very Mild 2150.jpg,1 Very Mild,0,256,256,17873,4ee1d67635ab8fff01eceba1e629d3e9fa5d4d291942b311a909024901c4ae5e
../data/1 Very Mild/AD Very Mild 2144.jpg,1 Very Mild,0,256,256,20698,f3a810a7adbbf75c8208caf04ed4193b02cc8834621429dd13da4d811d64d36a
../data/1 Very Mild/AD Very Mild 703.jpg,1 Very Mild,0,256,256,20542,e7c0d71ae5e5754ff7420f0cc50d62a21a422ef7f7dbb4cc333ec423de150a08
../data/1 Very Mild/AD Very Mild 2193.jpg,1 Very Mild,0,256,256,19976,3c07dfc0629f7cf8e0290b3563c10af27062f729932c705c7c947cca63815497
../data/1 Very Mild/AD Very Mild 2187.jpg,1 Very Mild,0,256,256,19921,51d44d148c5b0d023b7f3cd7ef1f301654cbd40c526e7f9dc0f68bc954cba30e
../data/1 Very Mild/AD Very Mild 717.jpg,1 Very Mild,0,256,256,20454,b0a2c440497f03b890e90482a5714bf08cc3fe7f55a18daeee4722b2a89cd48e
../data/1 Very Mild/AD Very Mild 298.jpg,1 Very Mild,0,256,256,19309,610569ddeb013eb2c86a7d8397cb2288f5b4b1cec3dde9c8aaa37ca7a47da8a0
../data/1 Very Mild/AD Very Mild 1667.jpg,1 Very Mild,0,256,256,20871,33d6f8c8905da7a9d038986645f7b92ab58eb99ede004e36407b159f2481cffb
../data/1 Very Mild/AD Very Mild 1101.jpg,1 Very Mild,0,256,256,21151,e81a7186b2bf9328b5211e8b831ae31104d189853a501e4be959b57444b80a84
../data/1 Very Mild/AD Very Mild 1115.jpg,1 Very Mild,0,256,256,20676,8edf9f873fd6a728ff037a9dbd9d3c4290ea27438f7b03aff5e388d24ae13eb1
../data/1 Very Mild/AD Very Mild 1673.jpg,1 Very Mild,0,256,256,22143,4e88a29d4e6b5637aca581ea1b9191e7a586858b0a10c44c66d4df5851717c4f
